id_registro,class_session,time_register,year,month,day,hour,minute,seconds,faceOrientation,emotionRatio,attendanceRatio,bodyActionRatio,no_interaction_ratio,prof_stud_ratio,stud_stud_ratio,stud_obj_ratio,body_detections,distractors_dic.Eating,distractors_dic.Sleeping,distractors_dic.Walking,distractors_dic.Withcellphone,distractors_dic.Withearphones,Engagement,Attention,Interaction,Distractions,__v,Class time,Time,LUX,oxygenVol,Temperature,Humidity,AQI,TVOC,eCO2
66fb34d47835ef5c35ec49df,66fb26d67835ef5c35ebc3ed,30/09/2024 17:31:32,2024,9,30,17,31,33,0.986580086580086,0.709694691273639,0.75,0.944453044375645,0,1,0,0,21,0,0,0,0.012987012987013,0,63.293817766341,82.4023946899334,81.694349510139,33.9072782222937,0,02:03:30 a.m.,1727733761.08748,219,21.1135,31.213,44.35558,1,52,461
66fb34da7835ef5c35ec4a12,66fb26d67835ef5c35ebc3ed,30/09/2024 17:31:37,2024,9,30,17,31,38,0.985885167464115,0.733625730994152,0.714285714285714,0.99040404040404,0,1,0,0,20,0,0,0,0,0,63.4352927773981,82.8890217969165,79.7699551910078,34.2420065314802,0,02:03:35 a.m.,1727733766.09415,208,21.11151,31.1676,44.35129,1,57,470
66fb34df7835ef5c35ec4a45,66fb26d67835ef5c35ebc3ed,30/09/2024 17:31:43,2024,9,30,17,31,43,1,0.800691121743753,0.714285714285714,1,0,1,0,0,20,0,0,0,0,0,64.8675096832992,85.0172780435938,80.8640540745804,35.1497683602947,0,02:03:40 a.m.,1727733770.09863,220,21.05161,31.15692,44.33775,1,49,455
66fb34e47835ef5c35ec4a87,66fb26d67835ef5c35ebc3ed,30/09/2024 17:31:48,2024,9,30,17,31,49,0.956359649122807,0.785428849902534,0.714285714285714,1,0,1,0,0,20,0,0,0,0,0,63.765768588137,83.9811159844055,79.4022208298524,34.5607421331106,0,02:03:45 a.m.,1727733775.10853,208,21.06116,31.16627,44.39402,1,62,480
66fb34e97835ef5c35ec4abb,66fb26d67835ef5c35ebc3ed,30/09/2024 17:31:53,2024,9,30,17,31,54,0.976076555023923,0.737373737373737,0.678571428571429,1,0,1,0,0,19,0,0,0,0,0,62.5464228753703,81.8254917597023,77.3703197387408,33.9202172096909,0,02:03:50 a.m.,1727733780.11591,217,21.03967,31.1739,44.45953,1,57,472
66fb34ef7835ef5c35ec4aee,66fb26d67835ef5c35ebc3ed,30/09/2024 17:31:59,2024,9,30,17,31,59,1,0.761828814460394,0.678571428571429,1,0,1,0,0,19,0,0,0,0,0,63.3917179311916,82.7957203615098,78.3325738588897,34.4040024303182,0,02:03:55 a.m.,1727733785.12567,211,21.07231,31.16951,44.43312,1,58,473
66fb34f47835ef5c35ec4b21,66fb26d67835ef5c35ebc3ed,30/09/2024 17:32:04,2024,9,30,17,32,5,1,0.722488038277512,0.678571428571429,0.989304812834225,0,1,0,0,19,0,0,0,0,0,62.6411784809618,81.5448212777934,77.9391660970608,33.9036427968317,0,02:04:00 a.m.,1727733790.13239,210,21.08584,31.19698,44.44437,1,50,457
66fb34fa7835ef5c35ec4b54,66fb26d67835ef5c35ebc3ed,30/09/2024 17:32:09,2024,9,30,17,32,10,0.995215311004785,0.683572567783094,0.714285714285714,0.985645933014354,0,1,0,0,20,0,0,0.009090909090909,0,0,62.7997265892003,81.658692185008,79.5493278651173,33.7871952608795,0,02:04:05 a.m.,1727733795.13905,220,21.07868,31.213,44.40918,1,49,454
66fb34ff7835ef5c35ec4b87,66fb26d67835ef5c35ebc3ed,30/09/2024 17:32:15,2024,9,30,17,32,15,0.977033492822966,0.740590111642743,0.785714285714286,0.895373419775334,0.018899521531101,0.9811004784689,0,0,22,0,0,0.045454545454546,0,0,64.1954680088651,83.0545906777964,83.8597630439736,34.1761083148643,0,02:04:10 a.m.,1727733800.14179,208,21.06276,31.21147,44.40842,1,46,448
66fb35047835ef5c35ec4bba,66fb26d67835ef5c35ebc3ed,30/09/2024 17:32:20,2024,9,30,17,32,21,1,0.794991973397546,0.75,0.887294830212787,0,1,0,0,21,0,0,0.047619047619048,0,0,63.984302054155,83.3071700902583,82.9499197339755,34.3228680361033,0,02:04:15 a.m.,1727733805.15158,208,21.04664,31.23055,44.3574,1,44,445
